address;latitude;longitude;name;number;cluster
Merthyr Rd / Reginald St;-27.469931;153.043525;87 - MERTHYR RD / REGINALD ST;87;1
Albert St Mall / Adelaide St;-27.468963;153.02461;12 - ALBERT ST MALL / ADELAIDE ST;12;0
Vernon Tce / Florence St;-27.455907;153.050013;69 - VERNON TCE / FLORENCE ST;69;1
Edmondstone St / Vulture St;-27.480164;153.016181;113 - EDMONDSTONE ST / VULTURE ST;113;3
Bank St / Mollison St;-27.476724;153.010063;112 - BANK ST / MOLLISON ST;112;3
Gladstone Rd / Annerley Rd;-27.497934;153.027333;127 - GLADSTONE RD / ANNERLEY RD;127;2
Jane St / Montague Rd;-27.478214;153.006181;110 - JANE ST / MONTAGUE RD;110;3
Main St / Rotherham St (Mahoney Park);-27.469296;153.035533;90 - MAIN ST / ROTHERHAM ST (MAHONEY PARK);90;0
Little Cribb St / Boomerang St;-27.467971;153.009968;132 - LITTLE CRIBB ST / BOOMERANG ST;132;3
Grey St / Melbourne St;-27.474722;153.018694;96 - GREY ST / MELBOURNE ST;96;0
Queen St / Eagle St;-27.466369;153.029597;2 - QUEEN ST / EAGLE ST;2;0
Ann St / Chester St;-27.453195;153.0401;62 - ANN ST / CHESTER ST;62;1
Charlotte St / Albert St;-27.471315;153.026627;123 - CHARLOTTE ST / ALBERT ST;123;0
Vulture St / Thomas St;-27.480768;153.011121;103 - VULTURE ST / THOMAS ST;103;3
George St / Adelaide St;-27.469902;153.022603;28 - GEORGE ST / ADELAIDE ST;28;0
Wickham St / Brookes St;-27.453127;153.037559;60 - WICKHAM STREET / BROOKES STREET;60;1
Annerley Rd / Grove St;-27.491284;153.027138;124 - ANNERLEY ROAD / GROVE ST;124;2
Reddacliff Pl / Queen St;-27.471332;153.022991;25 - REDDACLIFF PL / QUEEN ST;25;0
Colchester St / Ernest St;-27.479876;153.021076;114 - COLCHESTER ST / ERNEST ST;114;0
WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE;-27.448074;153.045762;76 - WATERLOO ST (GASWORKS PARK) / NEWSTEAD TCE;76;1
Montague Rd / Brereton St;-27.474227;153.011164;115 - MONTAGUE RD / BRERETON ST;115;3
Roma St / Ann St;-27.467963;153.0231;30 - ROMA ST / ANN ST;30;0
Skyring Tce / Cunningham St;-27.44979;153.044925;64 - SKYRING TCE / CUNNINGHAM ST;64;1
Thornton St Ferry Terminal / Main St;-27.471025;153.034306;92 - THORNTON ST FERRY TERMINAL / MAIN ST;92;0
Melbourne St / Merivale St;-27.474755;153.016687;118 - MELBOURNE ST / MERIVALE ST;118;0
Hastings St / Macquarie St;-27.460914;153.04987;71 - HASTINGS ST / MACQUARIE ST;71;1
Park Rd / Railway Tce;-27.469501;153.004129;135 - PARK RD / RAILWAY TCE;135;3
